theme_id,theme_name,id,name,rare_state,rarity,NP
0,all,1,菇菇,-1,1,3
0,all,2,枯哭菇菇,-1,1,0
1,菇菇研究所,3,試管菇菇,-1,1,10
1,菇菇研究所,4,小白菇菇,-1,2,20
1,菇菇研究所,5,雙葉菇菇,-1,2,24
1,菇菇研究所,6,酒精燈菇菇,-1,2,30
1,菇菇研究所,7,化石菇菇,-1,2,32
1,菇菇研究所,8,菇菇美妮,-1,3,48
1,菇菇研究所,9,菇菇研究員,-1,3,50
1,菇菇研究所,10,無菌菇菇,-1,3,55
1,菇菇研究所,11,發光菇菇,-1,3,60
1,菇菇研究所,12,天竺鼠菇菇,-1,3,65
1,菇菇研究所,13,人工栽培菇菇,-1,3,70
1,菇菇研究所,14,菇菇標本,-1,4,98
1,菇菇研究所,15,猛男菇菇,-1,4,108
1,菇菇研究所,16,生化菇菇,-1,4,120
1,菇菇研究所,17,化學合成菇菇,-1,4,128
1,菇菇研究所,18,熱當菇菇,-1,5,145
1,菇菇研究所,19,安卓菇菇3.0,-1,5,160
1,菇菇研究所,20,永動機菇菇,-1,5,180
1,菇菇研究所,7,化石菇菇,1,2,32
1,菇菇研究所,9,菇菇研究員,1,3,50
1,菇菇研究所,11,發光菇菇,1,3,60
1,菇菇研究所,12,天竺鼠菇菇,1,3,65
1,菇菇研究所,13,人工栽培菇菇,1,3,70
1,菇菇研究所,15,猛男菇菇,1,4,108
