theme_id,theme_name,id,name,rare_state,rarity,NP
2,獨享燒肉,3,飲料菇菇,-1,1,20
2,獨享燒肉,4,小青椒菇菇,-1,2,30
2,獨享燒肉,5,高麗菜菇菇,-1,2,35
2,獨享燒肉,6,洋蔥菇菇,-1,2,40
2,獨享燒肉,7,烤肉菇菇,-1,2,45
2,獨享燒肉,8,扇貝菇菇,-1,3,60
2,獨享燒肉,9,熱血菇菇,-1,3,65
2,獨享燒肉,10,壺醃菇菇,-1,3,70
2,獨享燒肉,11,BBQ菇菇,-1,3,75
2,獨享燒肉,12,泡菜菇菇,-1,3,80
2,獨享燒肉,13,炭火菇菇,-1,3,85
2,獨享燒肉,14,品牌牛菇菇,-1,4,100
2,獨享燒肉,15,冰淇淋菇菇,-1,4,110
2,獨享燒肉,16,牡蠣菇菇,-1,4,120
2,獨享燒肉,17,玉米菇菇,-1,4,130
2,獨享燒肉,18,茄子菇菇,-1,5,160
2,獨享燒肉,19,湯飯菇菇,-1,5,180
2,獨享燒肉,20,一磅菇菇,-1,5,200
2,獨享燒肉,6,洋蔥菇菇,1,2,40
2,獨享燒肉,7,烤肉菇菇,1,2,45
2,獨享燒肉,8,扇貝菇菇,1,3,60
2,獨享燒肉,11,BBQ菇菇,1,3,75
2,獨享燒肉,17,玉米菇菇,1,4,130
2,獨享燒肉,19,湯飯菇菇,1,5,180
