theme_id,theme_name,id,name,rare_state,rarity,NP
3,水族箱,3,日光燈魚菇菇,-1,1,24
3,水族箱,4,海葵菇菇,-1,2,36
3,水族箱,5,水草菇菇,-1,2,40
3,水族箱,6,寄居蟹菇菇,-1,2,44
3,水族箱,7,珊瑚菇菇,-1,2,48
3,水族箱,8,流木菇菇,-1,3,68
3,水族箱,9,小丑魚菇菇,-1,3,72
3,水族箱,10,海星菇菇,-1,3,76
3,水族箱,11,蝦子菇菇,-1,3,80
3,水族箱,12,金魚菇菇,-1,3,84
3,水族箱,13,水母菇菇,-1,3,88
3,水族箱,14,海帶菇菇,-1,4,110
3,水族箱,15,氣泡石菇菇,-1,4,120
3,水族箱,16,浪潮菇菇,-1,4,130
3,水族箱,17,海蛞蝓菇菇,-1,4,140
3,水族箱,18,花園鰻菇菇,-1,5,175
3,水族箱,19,珍珠貝菇菇,-1,5,195
3,水族箱,20,熱帶魚王菇菇,-1,5,220
3,水族箱,6,寄居蟹菇菇,1,2,44
3,水族箱,7,珊瑚菇菇,1,2,48
3,水族箱,11,蝦子菇菇,1,3,80
3,水族箱,12,金魚菇菇,1,3,84
3,水族箱,13,水母菇菇,1,3,88
3,水族箱,19,珍珠貝菇菇,1,5,195
3,水族箱,7,珊瑚菇菇,2,2,48
