theme_id,theme_name,id,name,rare_state,rarity,NP
4,魔女工坊,3,菇菇蝙蝠,-1,1,28
4,魔女工坊,4,魔法書菇菇,-1,2,40
4,魔女工坊,5,箭毒菇菇,-1,2,45
4,魔女工坊,6,蘋果菇菇,-1,2,50
4,魔女工坊,7,魔杖菇菇,-1,2,55
4,魔女工坊,8,黴菌菇菇,-1,3,68
4,魔女工坊,9,魔法師菇菇,-1,3,72
4,魔女工坊,10,盧恩石菇菇,-1,3,76
4,魔女工坊,11,青蛙菇菇,-1,3,80
4,魔女工坊,12,森蚺,-1,3,84
4,魔女工坊,13,蠍子,-1,3,88
4,魔女工坊,14,祕藥菇菇,-1,4,110
4,魔女工坊,15,土曾,-1,4,120
4,魔女工坊,16,貓頭鷹菇菇,-1,4,130
4,魔女工坊,17,乾燥菇菇,-1,4,140
4,魔女工坊,18,曼陀羅菇菇,-1,5,175
4,魔女工坊,19,賢者之石菇菇,-1,5,195
4,魔女工坊,20,大魔女菇菇,-1,5,220
4,魔女工坊,6,蘋果菇菇,1,2,50
4,魔女工坊,8,黴菌菇菇,1,3,68
4,魔女工坊,9,魔法師菇菇,1,3,72
4,魔女工坊,14,祕藥菇菇,1,4,110
4,魔女工坊,15,土曾,1,4,120
4,魔女工坊,20,大魔女菇菇,1,5,220
