theme_id,theme_name,id,name,rare_state,rarity,NP
6,星象儀,3,星星菇菇,-1,1,30
6,星象儀,4,哈伯菇菇,-1,2,38
6,星象儀,5,菇菇座,-1,2,45
6,星象儀,6,月球菇菇,-1,2,52
6,星象儀,7,打盹菇菇,-1,2,60
6,星象儀,8,流星菇菇,-1,3,70
6,星象儀,9,THE·地球菇菇,-1,3,74
6,星象儀,10,天文學家菇菇,-1,3,78
6,星象儀,11,火星菇菇,-1,3,82
6,星象儀,12,星空菇菇,-1,3,86
6,星象儀,13,土星菇菇,-1,3,90
6,星象儀,14,天球儀菇菇,-1,4,100
6,星象儀,15,星象儀菇菇,-1,4,120
6,星象儀,16,流星雨菇菇,-1,4,135
6,星象儀,17,太空人菇菇,-1,4,155
6,星象儀,18,暗物質菇菇,-1,5,195
6,星象儀,19,銀河菇菇,-1,5,210
6,星象儀,20,機械戰士菇菇,-1,5,240
6,星象儀,5,菇菇座,1,2,45
6,星象儀,6,月球菇菇,1,2,52
6,星象儀,9,THE·地球菇菇,1,3,74
6,星象儀,17,太空人菇菇,1,4,155
6,星象儀,19,銀河菇菇,1,5,210
6,星象儀,20,機械戰士菇菇,1,5,240
